"filename", "language", "TypeScript", "WGSL", "comment", "blank", "total"
"d:\BaiduNetdiskDownload\Web-RTRT\src\bvh.ts", "TypeScript", 231, 0, 6, 15, 252
"d:\BaiduNetdiskDownload\Web-RTRT\src\camera.ts", "TypeScript", 118, 0, 17, 11, 146
"d:\BaiduNetdiskDownload\Web-RTRT\src\computeWorker.ts", "TypeScript", 21, 0, 0, 4, 25
"d:\BaiduNetdiskDownload\Web-RTRT\src\denoiser.ts", "TypeScript", 444, 0, 2, 31, 477
"d:\BaiduNetdiskDownload\Web-RTRT\src\device.ts", "TypeScript", 42, 0, 1, 7, 50
"d:\BaiduNetdiskDownload\Web-RTRT\src\display.ts", "TypeScript", 113, 0, 1, 6, 120
"d:\BaiduNetdiskDownload\Web-RTRT\src\gltf.ts", "TypeScript", 371, 0, 26, 26, 423
"d:\BaiduNetdiskDownload\Web-RTRT\src\main.ts", "TypeScript", 89, 0, 0, 17, 106
"d:\BaiduNetdiskDownload\Web-RTRT\src\modelView.ts", "TypeScript", 63, 0, 10, 31, 104
"d:\BaiduNetdiskDownload\Web-RTRT\src\raytracing.ts", "TypeScript", 636, 0, 21, 20, 677
"d:\BaiduNetdiskDownload\Web-RTRT\src\sample.ts", "TypeScript", 319, 0, 62, 17, 398
"d:\BaiduNetdiskDownload\Web-RTRT\src\screenBuffer.ts", "TypeScript", 71, 0, 0, 4, 75
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\basic.instanced.vert.wgsl", "WGSL", 0, 18, 0, 4, 22
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\compute.position.wgsl", "WGSL", 0, 50, 10, 5, 65
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\denoise\atrous.wgsl", "WGSL", 0, 81, 18, 11, 110
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\denoise\denoiseAccum.wgsl", "WGSL", 0, 26, 4, 5, 35
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\denoise\denoiseCommon.wgsl", "WGSL", 0, 10, 1, 3, 14
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\denoise\filterVariance.wgsl", "WGSL", 0, 54, 2, 9, 65
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\denoise\firefly.wgsl", "WGSL", 0, 88, 8, 12, 108
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\denoise\preloadInvoker.wgsl", "WGSL", 0, 13, 0, 0, 13
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\denoise\temperalAccum.wgsl", "WGSL", 0, 154, 14, 18, 186
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\display.wgsl", "WGSL", 0, 39, 15, 7, 61
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\lightUpdate.wgsl", "WGSL", 0, 46, 0, 2, 48
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\manager.ts", "TypeScript", 68, 0, 0, 11, 79
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\position.frag.wgsl", "WGSL", 0, 7, 0, 0, 7
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\BSDF.wgsl", "WGSL", 0, 56, 14, 10, 80
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\accumulate.wgsl", "WGSL", 0, 59, 9, 10, 78
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\common.wgsl", "WGSL", 0, 54, 1, 10, 65
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\light.wgsl", "WGSL", 0, 37, 2, 4, 43
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\rayGen.wgsl", "WGSL", 0, 217, 80, 23, 320
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\reservoir.wgsl", "WGSL", 0, 103, 11, 10, 124
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\sampleInit.wgsl", "WGSL", 0, 108, 14, 15, 137
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\slopeAABBTest.wgsl", "WGSL", 0, 535, 5, 33, 573
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\spatialReuse.wgsl", "WGSL", 0, 94, 16, 9, 119
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\trace.wgsl", "WGSL", 0, 143, 16, 20, 179
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\utils.wgsl", "WGSL", 0, 37, 23, 13, 73
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\vBuffer.wgsl", "WGSL", 0, 65, 15, 10, 90
"d:\BaiduNetdiskDownload\Web-RTRT\src\util\box.ts", "TypeScript", 43, 0, 1, 2, 46
"d:\BaiduNetdiskDownload\Web-RTRT\src\util\cube.ts", "TypeScript", 40, 0, 7, 2, 49
"d:\BaiduNetdiskDownload\Web-RTRT\src\util\math.ts", "TypeScript", 45, 0, 14, 7, 66
"d:\BaiduNetdiskDownload\Web-RTRT\src\utils.ts", "TypeScript", 4, 0, 0, 1, 5
"d:\BaiduNetdiskDownload\Web-RTRT\src\vBuffer.ts", "TypeScript", 167, 0, 18, 11, 196
"Total", "-", 2885, 2094, 464, 466, 5909
